state,store_type,family,sales
Azuay,D,PERSONAL CARE,178.81
Azuay,D,POULTRY,173.67
Pichincha,D,PREPARED FOODS,172.25
El Oro,D,MEATS,172.19
Azuay,D,MEATS,170.92
Loja,D,DELI,169.15
El Oro,D,POULTRY,158.94
Loja,D,POULTRY,157.34
Pichincha,C,HOME CARE,155.56
El Oro,C,POULTRY,151.08
Pichincha,B,EGGS,144.67
El Oro,D,HOME CARE,144.02
El Oro,C,EGGS,141.68
Tungurahua,D,PERSONAL CARE,140.4
Azuay,D,FROZEN FOODS,134.54
Tungurahua,D,DELI,133.5
Pichincha,D,"LIQUOR,WINE,BEER",128.08
Azuay,D,HOME CARE,125.77
Tungurahua,A,PREPARED FOODS,122.9
Loja,D,PREPARED FOODS,121.8
Loja,D,EGGS,120.48
El Oro,D,EGGS,117.6
Pichincha,C,EGGS,114.95
Tungurahua,A,EGGS,114.87
Tungurahua,A,"LIQUOR,WINE,BEER",114.0
El Oro,C,MEATS,112.1
Azuay,D,DELI,107.26
Azuay,D,EGGS,106.07
Tungurahua,D,FROZEN FOODS,102.4
Azuay,B,FROZEN FOODS,92.79
Pichincha,B,FROZEN FOODS,88.37
Tungurahua,D,HOME CARE,87.2
Azuay,D,PREPARED FOODS,83.3
Loja,D,"LIQUOR,WINE,BEER",79.04
Pichincha,A,SEAFOOD,78.77
Azuay,B,PREPARED FOODS,76.17
El Oro,C,FROZEN FOODS,73.03
Azuay,D,"LIQUOR,WINE,BEER",71.38
Pichincha,C,FROZEN FOODS,71.31
El Oro,D,"LIQUOR,WINE,BEER",71.28
El Oro,C,"LIQUOR,WINE,BEER",69.89
Azuay,B,"LIQUOR,WINE,BEER",64.34
Pichincha,A,GROCERY II,63.12
Pichincha,B,PREPARED FOODS,59.62
El Oro,D,PREPARED FOODS,59.55
Tungurahua,D,"LIQUOR,WINE,BEER",55.26
Tungurahua,D,EGGS,55.22
Pichincha,D,SEAFOOD,50.53
Tungurahua,D,PREPARED FOODS,49.51
El Oro,C,PREPARED FOODS,49.29
Tungurahua,A,HOME AND KITCHEN I,49.29
Tungurahua,A,GROCERY II,46.72
Tungurahua,A,HOME AND KITCHEN II,45.84
Pichincha,A,HOME AND KITCHEN I,44.74
Pichincha,B,"LIQUOR,WINE,BEER",44.32
Pichincha,C,PREPARED FOODS,43.14
Pichincha,A,HOME AND KITCHEN II,40.4
Pichincha,D,GROCERY II,38.41
Azuay,D,GROCERY II,29.51
Azuay,B,GROCERY II,28.7
Loja,D,GROCERY II,26.51
Pichincha,C,"LIQUOR,WINE,BEER",25.84
Tungurahua,D,GROCERY II,24.31
Tungurahua,A,SEAFOOD,23.69
Loja,D,HOME AND KITCHEN I,22.84
El Oro,D,GROCERY II,22.76
Azuay,B,HOME AND KITCHEN I,22.52
Tungurahua,A,CELEBRATION,22.35
Pichincha,D,HOME AND KITCHEN I,21.77
Pichincha,B,HOME AND KITCHEN I,21.62
El Oro,C,HOME AND KITCHEN I,21.29
Pichincha,D,HOME AND KITCHEN II,20.16
Loja,D,SEAFOOD,19.8
El Oro,D,HOME AND KITCHEN II,19.44
Pichincha,A,PLAYERS AND ELECTRONICS,19.0
Pichincha,A,CELEBRATION,18.74
Pichincha,D,LADIESWEAR,17.91
Loja,D,HOME AND KITCHEN II,17.57
Loja,D,LADIESWEAR,17.53
Pichincha,A,LADIESWEAR,17.26
El Oro,D,HOME AND KITCHEN I,17.0
El Oro,C,HOME AND KITCHEN II,15.84
Tungurahua,D,SEAFOOD,15.58
Azuay,D,HOME AND KITCHEN I,15.19
Pichincha,A,AUTOMOTIVE,14.99
Tungurahua,A,PLAYERS AND ELECTRONICS,14.31
Azuay,D,SEAFOOD,14.08
Loja,D,LINGERIE,13.94
Pichincha,A,SCHOOL AND OFFICE SUPPLIES,13.88
Azuay,B,HOME AND KITCHEN II,13.57
Pichincha,D,LAWN AND GARDEN,13.56
Pichincha,A,PET SUPPLIES,13.51
Pichincha,A,LAWN AND GARDEN,13.51
Azuay,D,HOME AND KITCHEN II,13.47
Tungurahua,A,LADIESWEAR,13.29
Pichincha,B,GROCERY II,13.2
Pichincha,D,CELEBRATION,12.75
Pichincha,B,HOME AND KITCHEN II,12.64
Pichincha,D,LINGERIE,12.51
Azuay,D,LADIESWEAR,12.25
Pichincha,C,HOME AND KITCHEN I,12.22
Azuay,D,LAWN AND GARDEN,11.98
Tungurahua,A,AUTOMOTIVE,11.68
Azuay,B,SEAFOOD,11.31
Tungurahua,A,SCHOOL AND OFFICE SUPPLIES,11.12
Pichincha,A,BEAUTY,10.74
Pichincha,C,HOME AND KITCHEN II,10.58
Pichincha,B,SEAFOOD,10.39
El Oro,D,LAWN AND GARDEN,9.66
Loja,D,CELEBRATION,9.27
Tungurahua,D,HOME AND KITCHEN II,8.88
Azuay,B,AUTOMOTIVE,8.87
El Oro,C,GROCERY II,8.86
El Oro,D,LINGERIE,8.82
Tungurahua,D,CELEBRATION,8.8
Pichincha,A,LINGERIE,8.68
Pichincha,D,PLAYERS AND ELECTRONICS,8.63
Loja,D,LAWN AND GARDEN,8.56
El Oro,D,LADIESWEAR,8.14
El Oro,C,LINGERIE,8.06
El Oro,D,SEAFOOD,7.81
Azuay,B,LAWN AND GARDEN,7.77
Tungurahua,A,BEAUTY,7.74
Pichincha,A,MAGAZINES,7.34
El Oro,D,CELEBRATION,7.32
Pichincha,B,AUTOMOTIVE,7.24
Pichincha,B,CELEBRATION,7.15
Pichincha,B,LADIESWEAR,7.01
Pichincha,C,SEAFOOD,7.01
Azuay,B,LINGERIE,6.91
Tungurahua,D,LADIESWEAR,6.83
Tungurahua,D,HOME AND KITCHEN I,6.76
Azuay,B,CELEBRATION,6.74
Pichincha,B,LINGERIE,6.56
Loja,D,AUTOMOTIVE,6.51
Pichincha,D,PET SUPPLIES,6.45
Azuay,D,CELEBRATION,6.43
Tungurahua,A,LINGERIE,6.17
Pichincha,C,GROCERY II,5.99
Loja,D,PLAYERS AND ELECTRONICS,5.98
Pichincha,D,MAGAZINES,5.94
Tungurahua,A,PET SUPPLIES,5.66
El Oro,D,MAGAZINES,5.61
El Oro,C,CELEBRATION,5.6
Azuay,B,PLAYERS AND ELECTRONICS,5.45
Pichincha,B,PLAYERS AND ELECTRONICS,5.44
Pichincha,D,BEAUTY,5.35
Pichincha,D,AUTOMOTIVE,5.27
Tungurahua,A,LAWN AND GARDEN,5.16
Loja,D,MAGAZINES,5.1
Loja,D,BEAUTY,5.09
Azuay,D,PLAYERS AND ELECTRONICS,5.03
El Oro,D,AUTOMOTIVE,4.83
Azuay,D,PET SUPPLIES,4.75
Tungurahua,A,MAGAZINES,4.73
El Oro,D,PLAYERS AND ELECTRONICS,4.65
Azuay,B,LADIESWEAR,4.63
Pichincha,C,AUTOMOTIVE,4.61
El Oro,D,PET SUPPLIES,4.61
Tungurahua,D,LINGERIE,4.58
El Oro,D,BEAUTY,4.35
Azuay,D,MAGAZINES,4.28
Pichincha,C,LINGERIE,4.26
Azuay,D,LINGERIE,4.22
El Oro,C,PLAYERS AND ELECTRONICS,4.17
Loja,D,PET SUPPLIES,3.89
El Oro,C,AUTOMOTIVE,3.85
Azuay,B,BEAUTY,3.84
Pichincha,B,BEAUTY,3.81
Pichincha,C,PLAYERS AND ELECTRONICS,3.76
Pichincha,B,SCHOOL AND OFFICE SUPPLIES,3.72
Pichincha,C,CELEBRATION,3.65
Azuay,D,BEAUTY,3.35
El Oro,C,SEAFOOD,3.11
Azuay,D,AUTOMOTIVE,2.87
Azuay,B,PET SUPPLIES,2.73
Pichincha,B,LAWN AND GARDEN,2.59
Pichincha,C,LADIESWEAR,2.59
Tungurahua,D,PLAYERS AND ELECTRONICS,2.52
Tungurahua,D,AUTOMOTIVE,2.3
Tungurahua,D,MAGAZINES,2.17
El Oro,C,SCHOOL AND OFFICE SUPPLIES,2.09
Pichincha,B,PET SUPPLIES,1.95
Azuay,B,MAGAZINES,1.94
Pichincha,A,HARDWARE,1.87
Azuay,B,SCHOOL AND OFFICE SUPPLIES,1.84
Azuay,B,HARDWARE,1.84
Tungurahua,D,PET SUPPLIES,1.77
Pichincha,D,HARDWARE,1.75
Loja,D,HARDWARE,1.73
Pichincha,C,BEAUTY,1.62
Tungurahua,A,HARDWARE,1.52
Tungurahua,D,BEAUTY,1.52
Pichincha,A,HOME APPLIANCES,1.39
Pichincha,B,MAGAZINES,1.26
Azuay,D,HARDWARE,1.21
El Oro,C,BEAUTY,1.2
El Oro,C,PET SUPPLIES,1.14
El Oro,C,HARDWARE,1.06
Pichincha,B,HARDWARE,1.0
El Oro,C,MAGAZINES,0.95
Tungurahua,D,LAWN AND GARDEN,0.94
Pichincha,D,HOME APPLIANCES,0.77
El Oro,D,HARDWARE,0.77
Pichincha,C,MAGAZINES,0.77
Pichincha,C,HARDWARE,0.71
Pichincha,C,PET SUPPLIES,0.67
Tungurahua,A,HOME APPLIANCES,0.65
El Oro,D,SCHOOL AND OFFICE SUPPLIES,0.58
Pichincha,C,SCHOOL AND OFFICE SUPPLIES,0.54
Azuay,B,HOME APPLIANCES,0.42
Pichincha,D,SCHOOL AND OFFICE SUPPLIES,0.37
Loja,D,SCHOOL AND OFFICE SUPPLIES,0.35
El Oro,D,HOME APPLIANCES,0.31
El Oro,C,BABY CARE,0.3
Azuay,D,SCHOOL AND OFFICE SUPPLIES,0.27
Pichincha,B,HOME APPLIANCES,0.27
Azuay,B,BABY CARE,0.26
Pichincha,A,BOOKS,0.24
Pichincha,C,BABY CARE,0.23
Azuay,D,HOME APPLIANCES,0.22
El Oro,C,HOME APPLIANCES,0.22
Tungurahua,D,HOME APPLIANCES,0.21
Pichincha,B,BABY CARE,0.2
Pichincha,C,HOME APPLIANCES,0.18
Tungurahua,A,BOOKS,0.18
Tungurahua,D,SCHOOL AND OFFICE SUPPLIES,0.17
Azuay,D,BOOKS,0.16
Pichincha,D,BOOKS,0.16
Loja,D,HOME APPLIANCES,0.14
El Oro,C,LAWN AND GARDEN,0.14
Tungurahua,D,HARDWARE,0.13
Loja,D,BOOKS,0.1
Pichincha,D,BABY CARE,0.08
Pichincha,C,LAWN AND GARDEN,0.07
Tungurahua,D,BOOKS,0.05
El Oro,D,BOOKS,0.03
El Oro,D,BABY CARE,0.03
Azuay,D,BABY CARE,0.02
Loja,D,BABY CARE,0.01
