year,month,store_type,sales
2015,9,A,827.7330678764309
2015,9,B,424.07777195830806
2015,9,C,228.1126979993266
2015,9,D,426.25339029222226
2015,9,E,384.79189619318186
2015,10,A,821.0785345218856
2015,10,B,413.627954940738
2015,10,C,232.23784763191267
2015,10,D,424.8888507181166
2015,10,E,377.7794098115836
2015,11,A,840.2459735332211
2015,11,B,399.1347925479419
2015,11,C,223.49313759232322
2015,11,D,423.616205776908
2015,11,E,325.6313906212121
2015,12,A,996.9817271075268
2015,12,B,488.7332367519062
2015,12,C,271.04727511045945
2015,12,D,511.32664332779956
2015,12,E,398.83938542741936
2016,1,A,846.3840220545237
2016,1,B,406.17499387690617
2016,1,C,228.56854479804497
2016,1,D,432.6548546507277
2016,1,E,338.8856869562561
2016,2,A,804.3885164928596
2016,2,B,409.1559193215387
2016,2,C,229.04122278167887
2016,2,D,424.8415439562928
2016,2,E,334.5103450632184
2016,3,A,784.7917400227544
2016,3,B,404.24947192495114
2016,3,C,228.03635184952753
2016,3,D,418.13321578269796
2016,3,E,341.91173036241446
2016,4,A,912.3393804136527
2016,4,B,506.5668097170699
2016,4,C,264.5568194050179
2016,4,D,472.5760493173781
2016,4,E,404.89092596212123
2016,5,A,852.7308115782106
2016,5,B,449.8689062043723
2016,5,C,247.28298915220776
2016,5,D,457.7465519082636
2016,5,E,373.0110409134199
2016,6,A,777.1826065498738
2016,6,B,403.0351995448745
2016,6,C,223.7601931150568
2016,6,D,430.12690340856483
2016,6,E,335.79871045714964
2016,7,A,808.5999913309867
2016,7,B,424.44335235244495
2016,7,C,230.84651825234158
2016,7,D,429.9675532418682
2016,7,E,370.82483102892564
2016,8,A,761.1506650400781
2016,8,B,379.10580583289345
2016,8,C,224.49606698898666
2016,8,D,402.6919139185131
2016,8,E,362.1302979210655
2016,9,A,818.0954663488216
2016,9,B,377.42788348204544
2016,9,C,233.42847951393938
2016,9,D,408.2298093587486
2016,9,E,353.0102351252525
2016,10,A,853.6653269195721
2016,10,B,398.61135595953084
2016,10,C,236.65932544907136
2016,10,D,425.77645693753124
2016,10,E,351.0930564777615
2016,11,A,935.0832272400892
2016,11,B,390.6054211056452
2016,11,C,243.44201396370153
2016,11,D,467.3089533260779
2016,11,E,348.42916886339196
2016,12,A,1090.1084303885414
2016,12,B,526.4573246398949
2016,12,C,292.31124957908116
2016,12,D,543.0182546626426
2016,12,E,475.6421409775171
2017,1,A,938.6372142306398
2017,1,B,444.43684470008554
2017,1,C,240.99239043818832
2017,1,D,474.8378062781091
2017,1,E,392.7576664660313
2017,2,A,895.286491808201
2017,2,B,442.97176117613634
2017,2,C,242.01217504963924
2017,2,D,461.7418212195045
2017,2,E,404.89283921401517
2017,3,A,937.1824159384164
2017,3,B,457.9047476903592
2017,3,C,250.5215220612577
2017,3,D,481.723792008222
2017,3,E,394.2258235989736
2017,4,A,933.4451309193548
2017,4,B,484.2671203488148
2017,4,C,259.79951410394267
2017,4,D,455.46668416774736
2017,4,E,416.7007519269306
2017,5,A,976.4966817542088
2017,5,B,459.5413197227517
2017,5,C,264.0256970318671
2017,5,D,456.9357180903117
2017,5,E,414.19049540615833
2017,6,A,992.2942507087015
2017,6,B,455.5353393207742
2017,6,C,254.46103346780305
2017,6,D,464.8545573953178
2017,6,E,407.74113158238634
2017,7,A,989.3060124617214
2017,7,B,466.3509479249645
2017,7,C,261.35577904558085
2017,7,D,455.6245008489794
2017,7,E,424.74852554947915
2017,8,A,903.0782699430528
2017,8,B,473.74138795732324
2017,8,C,265.39519071555554
2017,8,D,411.96653791113357
2017,8,E,450.9657616257576
